"","County","totpop","medage","totpopwhite","bachdegree","medincome","perc.white","perc.bachdegree","year"
"1","Adams",95850,38.6,89435,7172,25821,93.3072509128847,7.48252477829943,2005
"2","Allegheny",1195503,41.4,995431,167355,24309,83.2646174873672,13.9987101663484,2005
"3","Armstrong",69501,42,0,4598,19167,0,6.61573214773888,2005
"4","Beaver",173086,42.8,159484,15326,22034,92.141478802445,8.85455784985499,2005
"5","Berks",382917,38.4,344187,38063,25416,89.8855365523077,9.94027426309096,2005
"6","Blair",122717,40.7,119317,9532,19844,97.2293977199573,7.76746498040206,2005
"7","Bucks",612210,40,557958,90751,32167,91.1383348850884,14.8235082733049,2005
"8","Butler",175561,39.4,171141,24124,25092,97.4823565598282,13.7410928395259,2005
"9","Cambria",138963,43.9,134100,11023,19647,96.5005073292891,7.93232731014731,2005
"10","Centre",124263,29.8,114125,15662,18304,91.8414974690777,12.603912669097,2005
"11","Chester",458141,38.8,405680,84440,36232,88.5491584468537,18.4310070480485,2005
"12","Clearfield",79001,41.4,0,5241,19005,0,6.63409323932608,2005
"13","Crawford",85445,40.1,83217,5879,19212,97.3924746913219,6.88044941190239,2005
"14","Cumberland",208751,40.4,196098,31621,29374,93.9387116708423,15.1477118672485,2005
"15","Dauphin",247379,39.3,188541,27700,27493,76.2154427012802,11.1973934731727,2005
"16","Delaware",531609,39.8,405050,71197,29298,76.1932171953447,13.3927378957091,2005
"17","Erie",266662,38.5,242089,28528,21599,90.7849637368654,10.6981872182763,2005
"18","Fayette",141661,40.8,134165,7530,18200,94.7084942221218,5.31550673791658,2005
"19","Franklin",134409,38.7,127131,8906,25180,94.5851840278553,6.62604438690862,2005
"20","Indiana",83256,37.9,80709,6424,18114,96.9407610262324,7.71596041126165,2005
"21","Lackawanna",201201,41.1,193150,21471,20973,95.9985288343497,10.6714181341047,2005
"22","Lancaster",476155,37.1,435861,48541,26426,91.5376295534017,10.1943694805263,2005
"23","Lawrence",89742,41.9,0,7583,21010,0,8.44977825321477,2005
"24","Lebanon",121054,39.9,113485,11206,26200,93.747418507443,9.25702579014324,2005
"25","Lehigh",319993,39.1,269254,37296,26018,84.1437156437797,11.6552549587022,2005
"26","Luzerne",299279,42.3,285762,28604,20535,95.4834786269668,9.55763685390555,2005
"27","Lycoming",112735,40.5,106194,7948,21202,94.1978977247527,7.0501618840644,2005
"28","Mercer",112981,42,0,10206,21931,0,9.03337729352723,2005
"29","Monroe",159175,37.6,130538,11478,24507,82.0091094707083,7.21093136485001,2005
"30","Montgomery",753046,39.9,638977,126820,35162,84.8523197786058,16.8409366758472,2005
"31","Northampton",276878,39.7,245214,31336,27871,88.5639162374764,11.3176200348168,2005
"32","Northumberland",88726,42.5,86699,5640,20698,97.7154385411266,6.35664855848342,2005
"33","Philadelphia",1406415,35.3,592159,110110,20852,42.1041442248554,7.82912582701407,2005
"34","Schuylkill",139811,42.6,136527,8639,21101,97.6511147191566,6.17905601132958,2005
"35","Somerset",74617,42.5,0,4961,20309,0,6.64861894742485,2005
"36","Washington",200938,41.8,191259,22279,23463,95.1830913017946,11.0874996267505,2005
"37","Westmoreland",358687,43.2,344585,36645,22740,96.0684384993044,10.2164282508148,2005
"38","York",400670,39.5,369116,33720,25738,92.1246911423366,8.41590336186887,2005
